Year,traps_millions,L5,LFS,RelEffort,landings_tons
1990,0.079445413,NA,42,0.00398522,NA
1991,0.868795985,NA,42,0.043581407,NA
1992,1.187938587,36.79665947,42,0.059590555,NA
1993,1.428656488,41.030837,42,0.071665685,NA
1994,1.59060945,40.22461858,42,0.079789731,NA
1995,2.302556033,40.71889511,42,0.115503102,NA
1996,2.464849232,40.72603881,42,0.123644215,NA
1997,2.626802195,39.5946116,42,0.13176826,NA
1998,2.082932846,NA,42,0.104486146,NA
1999,2.794539191,NA,42,0.14018245,NA
2000,1.231488964,NA,42,0.061775172,1154.731447
2001,4.217071407,33.74765703,42,0.211540923,4901.860296
2002,7.202994088,37.65696597,42,0.361323742,4805.092611
2003,13.32556458,33.43605531,42,0.668450202,6864.735079
2004,15.99778846,32.46723249,42,0.802496949,8049.295831
2005,18.74775656,32.79924481,42,0.94044358,7577.619951
2006,17.4196402,31.83042199,42,0.873821288,7480.852266
2007,19.93501467,31.83688534,42,1,10040.40192
2008,17.5873772,30.54285374,42,0.882235478,6881.158952
2009,17.35754689,28.27319579,42,0.870706502,5909.487107
2010,17.36265045,28.6052081,42,0.870962512,6781.461604
2011,12.50610301,29.58763798,42,0.627343557,3778.64493
2012,7.962573895,30.57006787,42,0.399426538,3400.718292
2013,9.693020882,31.87770653,42,0.486230938,4116.44405
2014,7.894696551,32.69753202,42,0.396021607,5800.823211
2015,8.527537958,37.90767608,42,0.427766826,5141.648844
2016,8.532981755,36.12583131,42,0.428039903,6013.800896
2017,7.12678093,35.97003045,42,0.357500661,3854.461079
2018,7.99489644,34.02592145,42,0.401047934,3570.372463
2019,7.686641432,38.26009899,42,0.38558494,3473.516
